,Unnamed: 0,image_name,detected_num,time,counted_num,label_counted,label_detected,label_same
0,0,dublin_day0.png,3,Fri 2018-12-28 10:15:08,4,<0.2,<0.2,same
1,1,dublin_day1.png,20,Fri 2018-12-28 10:18:18,23,0.6-0.8,0.6-0.8,same
2,2,dublin_day2.png,3,Fri 2018-12-28 10:21:23,6,<0.2,<0.2,not same
3,3,dublin_day3.png,1,Fri 2018-12-28 10:24:29,2,<0.2,<0.2,same
4,4,dublin_day4.png,3,Fri 2018-12-28 10:27:35,2,<0.2,<0.2,same
5,5,dublin_day5.png,3,Fri 2018-12-28 10:30:40,4,<0.2,<0.2,same
6,6,dublin_day6.png,2,Fri 2018-12-28 10:33:46,3,<0.2,<0.2,same
7,7,dublin_day7.png,4,Fri 2018-12-28 10:36:52,4,<0.2,<0.2,same
8,8,dublin_day8.png,4,Fri 2018-12-28 10:39:57,4,<0.2,<0.2,same
9,9,dublin_day9.png,7,Fri 2018-12-28 10:43:03,8,0.2 - 0.4,0.2 - 0.4,same
10,10,dublin_day10.png,1,Fri 2018-12-28 10:46:09,2,<0.2,<0.2,same
11,11,dublin_day11.png,13,Fri 2018-12-28 10:49:15,15,0.2 - 0.4,0.4-0.6,same
12,12,dublin_day12.png,13,Fri 2018-12-28 10:52:21,16,0.4-0.6,0.4-0.6,same
13,13,dublin_day13.png,4,Fri 2018-12-28 10:55:27,4,<0.2,<0.2,same
14,14,dublin_day14.png,8,Fri 2018-12-28 10:58:32,6,<0.2,0.2 - 0.4,same
15,15,dublin_day15.png,8,Fri 2018-12-28 11:01:38,9,0.2 - 0.4,0.2 - 0.4,same
16,16,dublin_day16.png,9,Fri 2018-12-28 11:04:44,17,0.4-0.6,0.2 - 0.4,same
17,17,dublin_day17.png,4,Fri 2018-12-28 11:07:51,13,0.2 - 0.4,<0.2,not same
18,18,dublin_day18.png,15,Fri 2018-12-28 11:10:57,16,0.4-0.6,0.6-0.8,same
19,19,dublin_day19.png,11,Fri 2018-12-28 11:14:03,15,0.2 - 0.4,0.4-0.6,not same
20,20,dublin_day20.png,16,Fri 2018-12-28 11:17:09,14,0.2 - 0.4,0.6-0.8,same
21,21,dublin_day21.png,10,Fri 2018-12-28 11:20:15,15,0.2 - 0.4,0.2 - 0.4,not same
22,22,dublin_day22.png,10,Fri 2018-12-28 11:23:22,16,0.4-0.6,0.2 - 0.4,same
23,23,dublin_day23.png,15,Fri 2018-12-28 11:26:28,15,0.2 - 0.4,0.6-0.8,same
24,24,dublin_day24.png,14,Fri 2018-12-28 11:29:33,16,0.4-0.6,0.4-0.6,same
25,25,dublin_day25.png,5,Fri 2018-12-28 11:32:39,7,0.2 - 0.4,0.2 - 0.4,same
26,26,dublin_day26.png,7,Fri 2018-12-28 11:35:45,6,<0.2,0.2 - 0.4,same
27,27,dublin_day27.png,11,Fri 2018-12-28 11:38:51,15,0.2 - 0.4,0.4-0.6,not same
28,28,dublin_day28.png,8,Fri 2018-12-28 11:41:56,13,0.2 - 0.4,0.2 - 0.4,not same
29,29,dublin_day29.png,17,Fri 2018-12-28 11:45:02,17,0.4-0.6,0.6-0.8,same
30,30,dublin_day30.png,23,Fri 2018-12-28 11:48:08,30,0.8-1,0.8-1,same
31,31,dublin_day31.png,14,Fri 2018-12-28 11:51:14,14,0.2 - 0.4,0.4-0.6,same
32,32,dublin_day32.png,19,Fri 2018-12-28 11:54:20,23,0.6-0.8,0.6-0.8,same
33,33,dublin_day33.png,22,Fri 2018-12-28 11:57:28,21,0.6-0.8,0.8-1,same
34,34,dublin_day34.png,13,Fri 2018-12-28 12:00:34,19,0.6-0.8,0.4-0.6,same
35,35,dublin_day35.png,17,Fri 2018-12-28 12:03:40,39,0.8-1,0.6-0.8,not same
36,36,dublin_day36.png,21,Fri 2018-12-28 12:06:45,43,0.8-1,0.8-1,not same
37,37,dublin_day37.png,26,Fri 2018-12-28 12:09:51,52,0.8-1,0.8-1,not same
38,38,dublin_day38.png,25,Fri 2018-12-28 12:12:57,65,0.8-1,0.8-1,not same
39,39,dublin_day39.png,27,Fri 2018-12-28 12:16:02,55,0.8-1,0.8-1,not same
40,40,dublin_day40.png,10,Fri 2018-12-28 12:19:08,24,0.6-0.8,0.2 - 0.4,not same
41,41,dublin_day41.png,19,Fri 2018-12-28 12:22:14,23,0.6-0.8,0.6-0.8,same
42,42,dublin_day42.png,26,Fri 2018-12-28 12:25:20,35,0.8-1,0.8-1,same
43,43,dublin_day43.png,29,Fri 2018-12-28 12:28:26,40,0.8-1,0.8-1,not same
44,44,dublin_day44.png,17,Fri 2018-12-28 12:31:32,25,0.6-0.8,0.6-0.8,same
45,45,dublin_day45.png,20,Fri 2018-12-28 12:34:38,36,0.8-1,0.6-0.8,not same
46,46,dublin_day46.png,19,Fri 2018-12-28 12:37:44,27,0.6-0.8,0.6-0.8,same
47,47,dublin_day47.png,13,Fri 2018-12-28 12:40:49,18,0.6-0.8,0.4-0.6,same
48,48,dublin_day48.png,23,Fri 2018-12-28 12:43:56,27,0.6-0.8,0.8-1,same
49,49,dublin_day49.png,13,Fri 2018-12-28 12:47:02,15,0.2 - 0.4,0.4-0.6,same
