,Unnamed: 0,image_name,algo,detected_num,counted_num,label_same
0,0,resnet_dublin_night3.png,resnet,29,37,not same
1,1,resnet_dublin_night46.png,resnet,21,14,not same
2,2,resnet_dublin_night18.png,resnet,19,18,same
3,3,resnet_dublin_night31.png,resnet,22,35,not same
4,4,resnet_dublin_night2.png,resnet,39,40,same
5,5,resnet_dublin_night48.png,resnet,10,11,same
6,6,resnet_dublin_night26.png,resnet,25,28,same
7,7,resnet_dublin_night24.png,resnet,35,40,not same
8,8,resnet_dublin_night10.png,resnet,28,20,not same
9,9,resnet_dublin_night6.png,resnet,28,30,same
10,10,resnet_dublin_night17.png,resnet,26,25,same
11,11,resnet_dublin_night39.png,resnet,19,15,not same
12,12,resnet_dublin_night49.png,resnet,17,16,same
13,13,resnet_dublin_night16.png,resnet,18,18,same
14,14,resnet_dublin_night12.png,resnet,28,26,same
