,index,Unnamed: 0,image_name,algo,detected_num,counted_num,label_same
0,30,30,yolo_tiny_dublin_night3.png,yolo_tiny,19,37,not same
1,31,31,yolo_tiny_dublin_night46.png,yolo_tiny,11,14,same
2,32,32,yolo_tiny_dublin_night18.png,yolo_tiny,5,18,not same
3,33,33,yolo_tiny_dublin_night31.png,yolo_tiny,15,35,not same
4,34,34,yolo_tiny_dublin_night2.png,yolo_tiny,17,40,not same
5,35,35,yolo_tiny_dublin_night48.png,yolo_tiny,5,11,not same
6,36,36,yolo_tiny_dublin_night26.png,yolo_tiny,11,28,not same
7,37,37,yolo_tiny_dublin_night24.png,yolo_tiny,13,40,not same
8,38,38,yolo_tiny_dublin_night10.png,yolo_tiny,15,20,not same
9,39,39,yolo_tiny_dublin_night6.png,yolo_tiny,11,30,not same
10,40,40,yolo_tiny_dublin_night17.png,yolo_tiny,12,25,not same
11,41,41,yolo_tiny_dublin_night39.png,yolo_tiny,9,15,not same
12,42,42,yolo_tiny_dublin_night49.png,yolo_tiny,6,16,not same
13,43,43,yolo_tiny_dublin_night16.png,yolo_tiny,8,18,not same
14,44,44,yolo_tiny_dublin_night12.png,yolo_tiny,15,26,not same
