,index,Unnamed: 0,image_name,algo,detected_num,counted_num,label_same
0,15,15,yolov3_dublin_day41.png,yolov3,16,23,same
1,16,16,yolov3_dublin_day34.png,yolov3,12,19,same
2,17,17,yolov3_dublin_day10.png,yolov3,3,2,not same
3,18,18,yolov3_dublin_day2.png,yolov3,5,6,not same
4,19,19,yolov3_dublin_day5.png,yolov3,4,4,same
5,20,20,yolov3_dublin_day47.png,yolov3,13,18,same
6,21,21,yolov3_dublin_day25.png,yolov3,5,7,same
7,22,22,yolov3_dublin_day3.png,yolov3,2,2,same
8,23,23,yolov3_dublin_day0.png,yolov3,3,4,not same
9,24,24,yolov3_dublin_day38.png,yolov3,20,43,not same
10,25,25,yolov3_dublin_day30.png,yolov3,20,30,same
11,26,26,yolov3_dublin_day13.png,yolov3,4,4,same
12,27,27,yolov3_dublin_day9.png,yolov3,8,8,same
13,28,28,yolov3_dublin_day4.png,yolov3,1,2,not same
14,29,29,yolov3_dublin_day39.png,yolov3,20,55,not same
