,index,Unnamed: 0,image_name,algo,detected_num,counted_num,label_same
0,15,15,yolov3_dublin_night3.png,yolov3,20,37,not same
1,16,16,yolov3_dublin_night46.png,yolov3,18,14,not same
2,17,17,yolov3_dublin_night18.png,yolov3,14,18,not same
3,18,18,yolov3_dublin_night31.png,yolov3,15,35,not same
4,19,19,yolov3_dublin_night2.png,yolov3,20,40,not same
5,20,20,yolov3_dublin_night48.png,yolov3,11,11,same
6,21,21,yolov3_dublin_night26.png,yolov3,20,28,not same
7,22,22,yolov3_dublin_night24.png,yolov3,20,40,not same
8,23,23,yolov3_dublin_night10.png,yolov3,20,20,same
9,24,24,yolov3_dublin_night6.png,yolov3,16,30,not same
10,25,25,yolov3_dublin_night17.png,yolov3,20,25,same
11,26,26,yolov3_dublin_night39.png,yolov3,17,15,not same
12,27,27,yolov3_dublin_night49.png,yolov3,11,16,not same
13,28,28,yolov3_dublin_night16.png,yolov3,16,18,not same
14,29,29,yolov3_dublin_night12.png,yolov3,19,26,not same
